[
Date: 2020-12-03T11:01:39Z , Country: Afghanistan , NewConfirmed: 263 , TotalConfirmed: 46980 , NewDeaths: 25 , 
Date: 2020-12-03T11:01:39Z , Country: Albania , NewConfirmed: 705 , TotalConfirmed: 39719 , NewDeaths: 17 , 
Date: 2020-12-03T11:01:39Z , Country: Algeria , NewConfirmed: 932 , TotalConfirmed: 85084 , NewDeaths: 17 , 
Date: 2020-12-03T11:01:39Z , Country: Andorra , NewConfirmed: 52 , TotalConfirmed: 6842 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Angola , NewConfirmed: 68 , TotalConfirmed: 15319 , NewDeaths: 1 , 
Date: 2020-12-03T11:01:39Z , Country: Antigua and Barbuda , NewConfirmed: 2 , TotalConfirmed: 144 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Argentina , NewConfirmed: 7533 , TotalConfirmed: 1440103 , NewDeaths: 228 , 
Date: 2020-12-03T11:01:39Z , Country: Armenia , NewConfirmed: 1264 , TotalConfirmed: 137231 , NewDeaths: 35 , 
Date: 2020-12-03T11:01:39Z , Country: Australia , NewConfirmed: 16 , TotalConfirmed: 27939 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Austria , NewConfirmed: 3972 , TotalConfirmed: 289461 , NewDeaths: 121 , 
Date: 2020-12-03T11:01:39Z , Country: Azerbaijan , NewConfirmed: 3942 , TotalConfirmed: 129544 , NewDeaths: 37 , 
Date: 2020-12-03T11:01:39Z , Country: Bahamas , NewConfirmed: 0 , TotalConfirmed: 7543 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Bahrain , NewConfirmed: 133 , TotalConfirmed: 87270 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Bangladesh , NewConfirmed: 2198 , TotalConfirmed: 469423 , NewDeaths: 38 , 
Date: 2020-12-03T11:01:39Z , Country: Barbados , NewConfirmed: 1 , TotalConfirmed: 279 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Belarus , NewConfirmed: 1689 , TotalConfirmed: 139908 , NewDeaths: 8 , 
Date: 2020-12-03T11:01:39Z , Country: Belgium , NewConfirmed: 3040 , TotalConfirmed: 582252 , NewDeaths: 125 , 
Date: 2020-12-03T11:01:39Z , Country: Belize , NewConfirmed: 0 , TotalConfirmed: 5854 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Benin , NewConfirmed: 40 , TotalConfirmed: 3055 , NewDeaths: 1 , 
Date: 2020-12-03T11:01:39Z , Country: Bhutan , NewConfirmed: 1 , TotalConfirmed: 415 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Bolivia , NewConfirmed: 184 , TotalConfirmed: 144994 , NewDeaths: 9 , 
Date: 2020-12-03T11:01:39Z , Country: Bosnia and Herzegovina , NewConfirmed: 1293 , TotalConfirmed: 90378 , NewDeaths: 46 , 
Date: 2020-12-03T11:01:39Z , Country: Botswana , NewConfirmed: 0 , TotalConfirmed: 10742 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Brazil , NewConfirmed: 49863 , TotalConfirmed: 6436650 , NewDeaths: 698 , 
Date: 2020-12-03T11:01:39Z , Country: Brunei Darussalam , NewConfirmed: 0 , TotalConfirmed: 151 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Bulgaria , NewConfirmed: 3138 , TotalConfirmed: 151913 , NewDeaths: 159 , 
Date: 2020-12-03T11:01:39Z , Country: Burkina Faso , NewConfirmed: 79 , TotalConfirmed: 3010 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Burundi , NewConfirmed: 0 , TotalConfirmed: 689 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Cambodia , NewConfirmed: 2 , TotalConfirmed: 331 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Cameroon , NewConfirmed: 0 , TotalConfirmed: 24487 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Canada , NewConfirmed: 6454 , TotalConfirmed: 393480 , NewDeaths: 113 , 
Date: 2020-12-03T11:01:39Z , Country: Cape Verde , NewConfirmed: 51 , TotalConfirmed: 10867 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Central African Republic , NewConfirmed: 0 , TotalConfirmed: 4918 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Chad , NewConfirmed: 5 , TotalConfirmed: 1705 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Chile , NewConfirmed: 1034 , TotalConfirmed: 553898 , NewDeaths: 8 , 
Date: 2020-12-03T11:01:39Z , Country: China , NewConfirmed: 120 , TotalConfirmed: 93113 , NewDeaths: 1 , 
Date: 2020-12-03T11:01:39Z , Country: Colombia , NewConfirmed: 9297 , TotalConfirmed: 1334089 , NewDeaths: 183 , 
Date: 2020-12-03T11:01:39Z , Country: Comoros , NewConfirmed: 0 , TotalConfirmed: 613 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Congo (Brazzaville) , NewConfirmed: 0 , TotalConfirmed: 5774 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Congo (Kinshasa) , NewConfirmed: 128 , TotalConfirmed: 12987 , NewDeaths: 1 , 
Date: 2020-12-03T11:01:39Z , Country: Costa Rica , NewConfirmed: 1168 , TotalConfirmed: 141340 , NewDeaths: 8 , 
Date: 2020-12-03T11:01:39Z , Country: Croatia , NewConfirmed: 3539 , TotalConfirmed: 134881 , NewDeaths: 55 , 
Date: 2020-12-03T11:01:39Z , Country: Cuba , NewConfirmed: 75 , TotalConfirmed: 8456 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Cyprus , NewConfirmed: 292 , TotalConfirmed: 11175 , NewDeaths: 3 , 
Date: 2020-12-03T11:01:39Z , Country: Czech Republic , NewConfirmed: 4568 , TotalConfirmed: 533042 , NewDeaths: 108 , 
Date: 2020-12-03T11:01:39Z , Country: Côte d'Ivoire , NewConfirmed: 27 , TotalConfirmed: 21361 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Denmark , NewConfirmed: 1586 , TotalConfirmed: 84056 , NewDeaths: 6 , 
Date: 2020-12-03T11:01:39Z , Country: Djibouti , NewConfirmed: 2 , TotalConfirmed: 5682 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Dominica , NewConfirmed: 0 , TotalConfirmed: 85 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Dominican Republic , NewConfirmed: 895 , TotalConfirmed: 145197 , NewDeaths: 1 , 
Date: 2020-12-03T11:01:39Z , Country: Ecuador , NewConfirmed: 1203 , TotalConfirmed: 194876 , NewDeaths: 61 , 
Date: 2020-12-03T11:01:39Z , Country: Egypt , NewConfirmed: 421 , TotalConfirmed: 116724 , NewDeaths: 28 , 
Date: 2020-12-03T11:01:39Z , Country: El Salvador , NewConfirmed: 0 , TotalConfirmed: 39130 , NewDeaths: 9 , 
Date: 2020-12-03T11:01:39Z , Country: Equatorial Guinea , NewConfirmed: 0 , TotalConfirmed: 5156 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Eritrea , NewConfirmed: 0 , TotalConfirmed: 577 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Estonia , NewConfirmed: 522 , TotalConfirmed: 13019 , NewDeaths: 1 , 
Date: 2020-12-03T11:01:39Z , Country: Ethiopia , NewConfirmed: 430 , TotalConfirmed: 110984 , NewDeaths: 6 , 
Date: 2020-12-03T11:01:39Z , Country: Fiji , NewConfirmed: 0 , TotalConfirmed: 42 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Finland , NewConfirmed: 420 , TotalConfirmed: 25882 , NewDeaths: 9 , 
Date: 2020-12-03T11:01:39Z , Country: France , NewConfirmed: 248 , TotalConfirmed: 2275677 , NewDeaths: 1 , 
Date: 2020-12-03T11:01:39Z , Country: Gabon , NewConfirmed: 25 , TotalConfirmed: 9239 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Gambia , NewConfirmed: 22 , TotalConfirmed: 3765 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Georgia , NewConfirmed: 4033 , TotalConfirmed: 143376 , NewDeaths: 39 , 
Date: 2020-12-03T11:01:39Z , Country: Germany , NewConfirmed: 23275 , TotalConfirmed: 1117953 , NewDeaths: 482 , 
Date: 2020-12-03T11:01:39Z , Country: Ghana , NewConfirmed: 0 , TotalConfirmed: 51667 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Greece , NewConfirmed: 2185 , TotalConfirmed: 109655 , NewDeaths: 89 , 
Date: 2020-12-03T11:01:39Z , Country: Grenada , NewConfirmed: 0 , TotalConfirmed: 41 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Guatemala , NewConfirmed: 686 , TotalConfirmed: 123460 , NewDeaths: 13 , 
Date: 2020-12-03T11:01:39Z , Country: Guinea , NewConfirmed: 24 , TotalConfirmed: 13143 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Guinea-Bissau , NewConfirmed: 0 , TotalConfirmed: 2441 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Guyana , NewConfirmed: 26 , TotalConfirmed: 5449 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Haiti , NewConfirmed: 17 , TotalConfirmed: 9313 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Holy See (Vatican City State) , NewConfirmed: 0 , TotalConfirmed: 27 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Honduras , NewConfirmed: 891 , TotalConfirmed: 109144 , NewDeaths: 12 , 
Date: 2020-12-03T11:01:39Z , Country: Hungary , NewConfirmed: 4136 , TotalConfirmed: 225209 , NewDeaths: 165 , 
Date: 2020-12-03T11:01:39Z , Country: Iceland , NewConfirmed: 0 , TotalConfirmed: 5413 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: India , NewConfirmed: 35551 , TotalConfirmed: 9534964 , NewDeaths: 526 , 
Date: 2020-12-03T11:01:39Z , Country: Indonesia , NewConfirmed: 5533 , TotalConfirmed: 549508 , NewDeaths: 118 , 
Date: 2020-12-03T11:01:39Z , Country: Iran, Islamic Republic of , NewConfirmed: 13621 , TotalConfirmed: 989572 , NewDeaths: 362 , 
Date: 2020-12-03T11:01:39Z , Country: Iraq , NewConfirmed: 1961 , TotalConfirmed: 556728 , NewDeaths: 34 , 
Date: 2020-12-03T11:01:39Z , Country: Ireland , NewConfirmed: 268 , TotalConfirmed: 73066 , NewDeaths: 5 , 
Date: 2020-12-03T11:01:39Z , Country: Israel , NewConfirmed: 1492 , TotalConfirmed: 339619 , NewDeaths: 6 , 
Date: 2020-12-03T11:01:39Z , Country: Italy , NewConfirmed: 20709 , TotalConfirmed: 1641610 , NewDeaths: 684 , 
Date: 2020-12-03T11:01:39Z , Country: Jamaica , NewConfirmed: 54 , TotalConfirmed: 10864 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Japan , NewConfirmed: 2456 , TotalConfirmed: 153432 , NewDeaths: 32 , 
Date: 2020-12-03T11:01:39Z , Country: Jordan , NewConfirmed: 3591 , TotalConfirmed: 227208 , NewDeaths: 52 , 
Date: 2020-12-03T11:01:39Z , Country: Kazakhstan , NewConfirmed: 777 , TotalConfirmed: 176342 , NewDeaths: 2 , 
Date: 2020-12-03T11:01:39Z , Country: Kenya , NewConfirmed: 961 , TotalConfirmed: 85130 , NewDeaths: 10 , 
Date: 2020-12-03T11:01:39Z , Country: Korea (South) , NewConfirmed: 540 , TotalConfirmed: 35703 , NewDeaths: 3 , 
Date: 2020-12-03T11:01:39Z , Country: Kuwait , NewConfirmed: 268 , TotalConfirmed: 143260 , NewDeaths: 1 , 
Date: 2020-12-03T11:01:39Z , Country: Kyrgyzstan , NewConfirmed: 335 , TotalConfirmed: 73513 , NewDeaths: 2 , 
Date: 2020-12-03T11:01:39Z , Country: Lao PDR , NewConfirmed: 0 , TotalConfirmed: 39 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Latvia , NewConfirmed: 690 , TotalConfirmed: 18377 , NewDeaths: 14 , 
Date: 2020-12-03T11:01:39Z , Country: Lebanon , NewConfirmed: 1842 , TotalConfirmed: 131297 , NewDeaths: 22 , 
Date: 2020-12-03T11:01:39Z , Country: Lesotho , NewConfirmed: 5 , TotalConfirmed: 2142 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Liberia , NewConfirmed: 0 , TotalConfirmed: 1595 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Libya , NewConfirmed: 670 , TotalConfirmed: 84087 , NewDeaths: 4 , 
Date: 2020-12-03T11:01:39Z , Country: Liechtenstein , NewConfirmed: 32 , TotalConfirmed: 1318 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Lithuania , NewConfirmed: 0 , TotalConfirmed: 62515 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Luxembourg , NewConfirmed: 673 , TotalConfirmed: 35802 , NewDeaths: 4 , 
Date: 2020-12-03T11:01:39Z , Country: Macao, SAR China , NewConfirmed: 0 , TotalConfirmed: 0 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Macedonia, Republic of , NewConfirmed: 945 , TotalConfirmed: 63890 , NewDeaths: 33 , 
Date: 2020-12-03T11:01:39Z , Country: Madagascar , NewConfirmed: 0 , TotalConfirmed: 17341 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Malawi , NewConfirmed: 12 , TotalConfirmed: 6040 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Malaysia , NewConfirmed: 851 , TotalConfirmed: 68020 , NewDeaths: 2 , 
Date: 2020-12-03T11:01:39Z , Country: Maldives , NewConfirmed: 21 , TotalConfirmed: 13070 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Mali , NewConfirmed: 75 , TotalConfirmed: 4837 , NewDeaths: 1 , 
Date: 2020-12-03T11:01:39Z , Country: Malta , NewConfirmed: 126 , TotalConfirmed: 10101 , NewDeaths: 5 , 
Date: 2020-12-03T11:01:39Z , Country: Marshall Islands , NewConfirmed: 0 , TotalConfirmed: 4 , NewDeaths: 0 , 
Date: 2020-12-03T11:01:39Z , Country: Mauritania , NewConfirmed: 153 , TotalConfirmed: 8863 , NewDeaths: 2 , 
