[
Date: 2020-12-03T03:31:33Z , Country: Afghanistan , NewConfirmed: 443 , TotalConfirmed: 46717 , NewDeaths: 2 , 
Date: 2020-12-03T03:31:33Z , Country: Albania , NewConfirmed: 832 , TotalConfirmed: 39014 , NewDeaths: 12 , 
Date: 2020-12-03T03:31:33Z , Country: Algeria , NewConfirmed: 953 , TotalConfirmed: 84152 , NewDeaths: 16 , 
Date: 2020-12-03T03:31:33Z , Country: Andorra , NewConfirmed: 45 , TotalConfirmed: 6790 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Angola , NewConfirmed: 112 , TotalConfirmed: 15251 , NewDeaths: 2 , 
Date: 2020-12-03T03:31:33Z , Country: Antigua and Barbuda , NewConfirmed: 1 , TotalConfirmed: 142 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Argentina , NewConfirmed: 8037 , TotalConfirmed: 1432570 , NewDeaths: 198 , 
Date: 2020-12-03T03:31:33Z , Country: Armenia , NewConfirmed: 843 , TotalConfirmed: 135967 , NewDeaths: 29 , 
Date: 2020-12-03T03:31:33Z , Country: Australia , NewConfirmed: 11 , TotalConfirmed: 27923 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Austria , NewConfirmed: 3033 , TotalConfirmed: 285489 , NewDeaths: 141 , 
Date: 2020-12-03T03:31:33Z , Country: Azerbaijan , NewConfirmed: 4426 , TotalConfirmed: 125602 , NewDeaths: 41 , 
Date: 2020-12-03T03:31:33Z , Country: Bahamas , NewConfirmed: 2 , TotalConfirmed: 7543 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Bahrain , NewConfirmed: 181 , TotalConfirmed: 87137 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Bangladesh , NewConfirmed: 2293 , TotalConfirmed: 467225 , NewDeaths: 31 , 
Date: 2020-12-03T03:31:33Z , Country: Barbados , NewConfirmed: 2 , TotalConfirmed: 278 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Belarus , NewConfirmed: 1572 , TotalConfirmed: 138219 , NewDeaths: 8 , 
Date: 2020-12-03T03:31:33Z , Country: Belgium , NewConfirmed: 1867 , TotalConfirmed: 579212 , NewDeaths: 141 , 
Date: 2020-12-03T03:31:33Z , Country: Belize , NewConfirmed: 0 , TotalConfirmed: 5854 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Benin , NewConfirmed: 0 , TotalConfirmed: 3015 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Bhutan , NewConfirmed: 4 , TotalConfirmed: 414 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Bolivia , NewConfirmed: 102 , TotalConfirmed: 144810 , NewDeaths: 6 , 
Date: 2020-12-03T03:31:33Z , Country: Bosnia and Herzegovina , NewConfirmed: 1184 , TotalConfirmed: 89085 , NewDeaths: 46 , 
Date: 2020-12-03T03:31:33Z , Country: Botswana , NewConfirmed: 0 , TotalConfirmed: 10742 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Brazil , NewConfirmed: 50909 , TotalConfirmed: 6386787 , NewDeaths: 697 , 
Date: 2020-12-03T03:31:33Z , Country: Brunei Darussalam , NewConfirmed: 1 , TotalConfirmed: 151 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Bulgaria , NewConfirmed: 3475 , TotalConfirmed: 148775 , NewDeaths: 153 , 
Date: 2020-12-03T03:31:33Z , Country: Burkina Faso , NewConfirmed: 45 , TotalConfirmed: 2931 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Burundi , NewConfirmed: 1 , TotalConfirmed: 689 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Cambodia , NewConfirmed: 3 , TotalConfirmed: 329 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Cameroon , NewConfirmed: 42 , TotalConfirmed: 24487 , NewDeaths: 4 , 
Date: 2020-12-03T03:31:33Z , Country: Canada , NewConfirmed: 5495 , TotalConfirmed: 387026 , NewDeaths: 82 , 
Date: 2020-12-03T03:31:33Z , Country: Cape Verde , NewConfirmed: 55 , TotalConfirmed: 10816 , NewDeaths: 1 , 
Date: 2020-12-03T03:31:33Z , Country: Central African Republic , NewConfirmed: 5 , TotalConfirmed: 4918 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Chad , NewConfirmed: 12 , TotalConfirmed: 1700 , NewDeaths: 1 , 
Date: 2020-12-03T03:31:33Z , Country: Chile , NewConfirmed: 1121 , TotalConfirmed: 552864 , NewDeaths: 20 , 
Date: 2020-12-03T03:31:33Z , Country: China , NewConfirmed: 91 , TotalConfirmed: 92993 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Colombia , NewConfirmed: 7986 , TotalConfirmed: 1324792 , NewDeaths: 168 , 
Date: 2020-12-03T03:31:33Z , Country: Comoros , NewConfirmed: 2 , TotalConfirmed: 613 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Congo (Brazzaville) , NewConfirmed: 0 , TotalConfirmed: 5774 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Congo (Kinshasa) , NewConfirmed: 87 , TotalConfirmed: 12859 , NewDeaths: 2 , 
Date: 2020-12-03T03:31:33Z , Country: Costa Rica , NewConfirmed: 534 , TotalConfirmed: 140172 , NewDeaths: 5 , 
Date: 2020-12-03T03:31:33Z , Country: Croatia , NewConfirmed: 2900 , TotalConfirmed: 131342 , NewDeaths: 75 , 
Date: 2020-12-03T03:31:33Z , Country: Cuba , NewConfirmed: 97 , TotalConfirmed: 8381 , NewDeaths: 1 , 
Date: 2020-12-03T03:31:33Z , Country: Cyprus , NewConfirmed: 318 , TotalConfirmed: 10883 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Czech Republic , NewConfirmed: 5176 , TotalConfirmed: 528474 , NewDeaths: 112 , 
Date: 2020-12-03T03:31:33Z , Country: Côte d'Ivoire , NewConfirmed: 3 , TotalConfirmed: 21334 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Denmark , NewConfirmed: 1468 , TotalConfirmed: 82470 , NewDeaths: 9 , 
Date: 2020-12-03T03:31:33Z , Country: Djibouti , NewConfirmed: 1 , TotalConfirmed: 5680 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Dominica , NewConfirmed: 0 , TotalConfirmed: 85 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Dominican Republic , NewConfirmed: 314 , TotalConfirmed: 144302 , NewDeaths: 2 , 
Date: 2020-12-03T03:31:33Z , Country: Ecuador , NewConfirmed: 988 , TotalConfirmed: 193673 , NewDeaths: 40 , 
Date: 2020-12-03T03:31:33Z , Country: Egypt , NewConfirmed: 392 , TotalConfirmed: 116303 , NewDeaths: 16 , 
Date: 2020-12-03T03:31:33Z , Country: El Salvador , NewConfirmed: 725 , TotalConfirmed: 39130 , NewDeaths: 6 , 
Date: 2020-12-03T03:31:33Z , Country: Equatorial Guinea , NewConfirmed: 3 , TotalConfirmed: 5156 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Eritrea , NewConfirmed: 0 , TotalConfirmed: 577 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Estonia , NewConfirmed: 189 , TotalConfirmed: 12497 , NewDeaths: 3 , 
Date: 2020-12-03T03:31:33Z , Country: Ethiopia , NewConfirmed: 480 , TotalConfirmed: 110554 , NewDeaths: 3 , 
Date: 2020-12-03T03:31:33Z , Country: Fiji , NewConfirmed: 0 , TotalConfirmed: 42 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Finland , NewConfirmed: 550 , TotalConfirmed: 25462 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: France , NewConfirmed: 413 , TotalConfirmed: 2275429 , NewDeaths: 2 , 
Date: 2020-12-03T03:31:33Z , Country: Gabon , NewConfirmed: 0 , TotalConfirmed: 9214 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Gambia , NewConfirmed: 1 , TotalConfirmed: 3743 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Georgia , NewConfirmed: 3759 , TotalConfirmed: 139343 , NewDeaths: 36 , 
Date: 2020-12-03T03:31:33Z , Country: Germany , NewConfirmed: 24766 , TotalConfirmed: 1094678 , NewDeaths: 483 , 
Date: 2020-12-03T03:31:33Z , Country: Ghana , NewConfirmed: 0 , TotalConfirmed: 51667 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Greece , NewConfirmed: 2199 , TotalConfirmed: 107470 , NewDeaths: 111 , 
